"time
References : ['VIout','VQout']
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real","VIout
References : []
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real","VQout
References : []
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real"
3.330000000000000  sec,-0.000878027984434,0.001731483386258
3.345000000000000  sec,-0.000878027987672,0.001731483383732
3.360000000000000  sec,-0.000878027987331,0.001731483384944
3.375000000000000  sec,-0.000878027969935,0.001731483382984
3.390000000000000  sec,-0.000878027964379,0.001731483386080
3.405000000000000  sec,-0.000878027975345,0.001731483403273
3.420000000000000  sec,-0.000836124575184,0.001752279098996
3.435000000000000  sec,-0.000836124578542,0.001752279079973
3.450000000000000  sec,-0.000836124568676,0.001752279105446
3.465000000000000  sec,-0.000836124578591,0.001752279105830
3.480000000000000  sec,-0.000836124579642,0.001752279101349
3.495000000000000  sec,-0.000836124570660,0.001752279099514
3.510000000000000  sec,-0.000836124585021,0.001752279100919
3.525000000000000  sec,-0.000813436119432,0.001763391062551
3.540000000000000  sec,-0.000813436124736,0.001763391097466
3.555000000000000  sec,-0.000813436111194,0.001763391086696
3.570000000000000  sec,-0.000813436116623,0.001763391080582
3.585000000000000  sec,-0.000813436123620,0.001763391094417
3.600000000000000  sec,-0.000813436133798,0.001763391077941
3.615000000000000  sec,-0.000813436127177,0.001763391079832
3.630000000000000  sec,-0.000818549948303,0.001761240709432
3.645000000000000  sec,-0.000818549961781,0.001761240695568
3.660000000000000  sec,-0.000818549974324,0.001761240704456
3.675000000000000  sec,-0.000818549956828,0.001761240702735
3.690000000000000  sec,-0.000818549950757,0.001761240703706
3.705000000000000  sec,-0.000818549971104,0.001761240697988
3.720000000000000  sec,-0.000851239745548,0.001745032328600
3.735000000000000  sec,-0.000851239754240,0.001745032365051
3.750000000000000  sec,-0.000851239736004,0.001745032358146
3.765000000000000  sec,-0.000851239762926,0.001745032364671
3.780000000000000  sec,-0.000851239740539,0.001745032350229
3.795000000000000  sec,-0.000851239747428,0.001745032362841
3.810000000000000  sec,-0.000851239768524,0.001745032358289
3.825000000000000  sec,-0.000912121232297,0.001712880645355
3.840000000000000  sec,-0.000912121228420,0.001712880635383
3.855000000000000  sec,-0.000912121251994,0.001712880660757
3.870000000000000  sec,-0.000912121225006,0.001712880649898
3.885000000000000  sec,-0.000912121251013,0.001712880640458
3.900000000000000  sec,-0.000912121223941,0.001712880639945
3.915000000000000  sec,-0.000912121230292,0.001712880640639
3.930000000000000  sec,-0.000992527296108,0.001666124205742
3.945000000000000  sec,-0.000992527287321,0.001666124217752
3.960000000000000  sec,-0.000992527322357,0.001666124192482
3.975000000000000  sec,-0.000992527304615,0.001666124214229
3.990000000000000  sec,-0.000992527307537,0.001666124207933
4.005000000000000  sec,-0.000992527293483,0.001666124202516
4.020000000000000  sec,-0.001076688683752,0.001611007448338
4.035000000000000  sec,-0.001076688660500,0.001611007447970
4.050000000000000  sec,-0.001076688691117,0.001611007455048
4.065000000000000  sec,-0.001076688678163,0.001611007442213
4.080000000000000  sec,-0.001076688668122,0.001611007455802
4.095000000000000  sec,-0.001076688657091,0.001611007447137
4.109999999999999  sec,-0.001076688673620,0.001611007446778
4.125000000000000  sec,-0.001160875250282,0.001549060563955
4.140000000000000  sec,-0.001160875249793,0.001549060586434
4.155000000000000  sec,-0.001160875247077,0.001549060571865
4.170000000000000  sec,-0.001160875267051,0.001549060546280
4.185000000000000  sec,-0.001160875239021,0.001549060558219
4.200000000000000  sec,-0.001160875248846,0.001549060573393
4.215000000000000  sec,-0.001160875261180,0.001549060574319
4.230000000000000  sec,-0.001230928097211,0.001492351972160
4.245000000000000  sec,-0.001230928081538,0.001492351970813
4.260000000000000  sec,-0.001230928073888,0.001492351984356
4.275000000000000  sec,-0.001230928059838,0.001492351968759
4.290000000000000  sec,-0.001230928069086,0.001492351969367
4.305000000000000  sec,-0.001230928092493,0.001492351976762
4.320000000000000  sec,-0.001277738139047,0.001450492124178
4.335000000000000  sec,-0.001277738127624,0.001450492119241
4.350000000000000  sec,-0.001277738112723,0.001450492115336
4.365000000000000  sec,-0.001277738140955,0.001450492132523
4.380000000000000  sec,-0.001277738143339,0.001450492142324
4.395000000000000  sec,-0.001277738123343,0.001450492122134
4.410000000000000  sec,-0.001277738120033,0.001450492111986
4.425000000000000  sec,-0.001303199062672,0.001426708333137
4.440000000000000  sec,-0.001303199053324,0.001426708319897
4.455000000000000  sec,-0.001303199042917,0.001426708326489
4.470000000000000  sec,-0.001303199035434,0.001426708325040
4.484999999999999  sec,-0.001303199056312,0.001426708341055
4.500000000000000  sec,-0.001303199041491,0.001426708331914
4.515000000000000  sec,-0.001303199055785,0.001426708327903
4.530000000000000  sec,-0.001304826155401,0.001425539749754
4.545000000000000  sec,-0.001304826163196,0.001425539734748
4.560000000000000  sec,-0.001304826152341,0.001425539741892
4.575000000000000  sec,-0.001304826164615,0.001425539744471
4.590000000000000  sec,-0.001304826171810,0.001425539741098
4.605000000000000  sec,-0.001304826152141,0.001425539729613
4.620000000000000  sec,-0.001286155847135,0.001442757799667
4.635000000000000  sec,-0.001286155854536,0.001442757785683
4.650000000000000  sec,-0.001286155855010,0.001442757763031
4.665000000000000  sec,-0.001286155844165,0.001442757767049
4.680000000000000  sec,-0.001286155855824,0.001442757772965
4.694999999999999  sec,-0.001286155848100,0.001442757776313
4.710000000000000  sec,-0.001286155845280,0.001442757786354
4.725000000000000  sec,-0.001248571293927,0.001476602235830
4.740000000000000  sec,-0.001248571292934,0.001476602231587
4.755000000000000  sec,-0.001248571280688,0.001476602237742
4.770000000000000  sec,-0.001248571278218,0.001476602257035
4.785000000000000  sec,-0.001248571257678,0.001476602235502
4.800000000000000  sec,-0.001248571272557,0.001476602245284
4.815000000000000  sec,-0.001248571269268,0.001476602223859
4.830000000000000  sec,-0.001196849490375,0.001520638698704
4.845000000000000  sec,-0.001196849507902,0.001520638704674
4.859999999999999  sec,-0.001196849502782,0.001520638705192
4.875000000000000  sec,-0.001196849470489,0.001520638687301
4.890000000000000  sec,-0.001196849484597,0.001520638706707
4.905000000000000  sec,-0.001196849485644,0.001520638707908
4.920000000000000  sec,-0.001138548626944,0.001566257732640
4.935000000000000  sec,-0.001138548647906,0.001566257726157
4.950000000000000  sec,-0.001138548621741,0.001566257721701
4.965000000000000  sec,-0.001138548635311,0.001566257719440
4.980000000000000  sec,-0.001138548624704,0.001566257730696
4.995000000000000  sec,-0.001138548634267,0.001566257706537
5.010000000000000  sec,-0.001138548623867,0.001566257723650
5.025000000000000  sec,-0.001071136526992,0.001614941776719
5.040000000000000  sec,-0.001071136495365,0.001614941791912
5.055000000000000  sec,-0.001071136511617,0.001614941792570
5.069999999999999  sec,-0.001071136498584,0.001614941784259
5.085000000000000  sec,-0.001071136506128,0.001614941789462
5.100000000000000  sec,-0.001071136521467,0.001614941792213
5.115000000000000  sec,-0.001071136524782,0.001614941797929
5.130000000000000  sec,-0.001001381984714,0.001660788370415
5.145000000000000  sec,-0.001001381988808,0.001660788371261
5.160000000000000  sec,-0.001001381980029,0.001660788368539
5.175000000000000  sec,-0.001001381991477,0.001660788352984
5.190000000000000  sec,-0.001001381997736,0.001660788386027
5.205000000000000  sec,-0.001001381997647,0.001660788382610
5.220000000000000  sec,-0.000938038882293,0.001698245318239
5.234999999999999  sec,-0.000938038860345,0.001698245274476
5.250000000000000  sec,-0.000938038874888,0.001698245316841
5.265000000000000  sec,-0.000938038871910,0.001698245304954
5.279999999999999  sec,-0.000938038856841,0.001698245295331
5.295000000000000  sec,-0.000938038877852,0.001698245298664
5.310000000000000  sec,-0.000938038869346,0.001698245303793
5.325000000000000  sec,-0.000878960309369,0.001730865415387
5.340000000000000  sec,-0.000878960335665,0.001730865424563
5.355000000000000  sec,-0.000878960305726,0.001730865390787
5.370000000000000  sec,-0.000878960333561,0.001730865387779
5.385000000000000  sec,-0.000878960318447,0.001730865420425
5.400000000000000  sec,-0.000878960299837,0.001730865418787
5.415000000000000  sec,-0.000878960312972,0.001730865399789
5.430000000000000  sec,-0.000834829071511,0.001753311130100
5.444999999999999  sec,-0.000834829105340,0.001753311147177
5.460000000000000  sec,-0.000834829093931,0.001753311137164
5.475000000000000  sec,-0.000834829111336,0.001753311137636
5.490000000000000  sec,-0.000834829102678,0.001753311155118
5.505000000000000  sec,-0.000834829068638,0.001753311139181
5.520000000000000  sec,-0.000813601689192,0.001763072892922
5.535000000000000  sec,-0.000813601683474,0.001763072884165
5.550000000000000  sec,-0.000813601678392,0.001763072885195
5.565000000000000  sec,-0.000813601674538,0.001763072899747
5.580000000000000  sec,-0.000813601694080,0.001763072902618
5.595000000000000  sec,-0.000813601662432,0.001763072895980
5.609999999999999  sec,-0.000813601665948,0.001763072877652
5.625000000000000  sec,-0.000818372172926,0.001761241629504
5.640000000000000  sec,-0.000818372146317,0.001761241654762
5.654999999999999  sec,-0.000818372149530,0.001761241619396
5.670000000000000  sec,-0.000818372137759,0.001761241651922
5.685000000000000  sec,-0.000818372155147,0.001761241630156
5.700000000000000  sec,-0.000818372156163,0.001761241637879
5.715000000000000  sec,-0.000818372163710,0.001761241627174
5.730000000000000  sec,-0.000852904990482,0.001744549975287
5.745000000000000  sec,-0.000852904990573,0.001744549973467
5.760000000000000  sec,-0.000852905006629,0.001744550002794
5.775000000000000  sec,-0.000852904980386,0.001744549980421
5.790000000000000  sec,-0.000852905001397,0.001744549977973
5.805000000000000  sec,-0.000852904991901,0.001744549991991
5.819999999999999  sec,-0.000911095028722,0.001713288816928
5.835000000000000  sec,-0.000911095034177,0.001713288817163
5.850000000000000  sec,-0.000911095008544,0.001713288835065
5.865000000000000  sec,-0.000911095013340,0.001713288811120
5.880000000000000  sec,-0.000911095000349,0.001713288824723
5.895000000000000  sec,-0.000911095032963,0.001713288817925
5.910000000000000  sec,-0.000911095025773,0.001713288811615
5.925000000000000  sec,-0.000991243618049,0.001666900402043
5.940000000000000  sec,-0.000991243611339,0.001666900388512
5.955000000000000  sec,-0.000991243626793,0.001666900388064
5.970000000000000  sec,-0.000991243610430,0.001666900421478
5.984999999999999  sec,-0.000991243605967,0.001666900397535
6.000000000000000  sec,-0.000991243615712,0.001666900409663
6.015000000000000  sec,-0.000991243588640,0.001666900407457
6.029999999999999  sec,-0.001079542327807,0.001609365009742
6.045000000000000  sec,-0.001079542328122,0.001609365003774
6.060000000000000  sec,-0.001079542314957,0.001609365036649
6.075000000000000  sec,-0.001079542322118,0.001609365029583
6.090000000000000  sec,-0.001079542330115,0.001609365025895
6.105000000000000  sec,-0.001079542338687,0.001609365042174
6.120000000000000  sec,-0.001159709603795,0.001549705639804
6.135000000000000  sec,-0.001159709620651,0.001549705645764
6.150000000000000  sec,-0.001159709619170,0.001549705638855
6.165000000000000  sec,-0.001159709634539,0.001549705655104
6.180000000000000  sec,-0.001159709596611,0.001549705645189
6.194999999999999  sec,-0.001159709607480,0.001549705626263
6.210000000000000  sec,-0.001159709604893,0.001549705641046
6.225000000000000  sec,-0.001230060699942,0.001492986550869
6.240000000000000  sec,-0.001230060710787,0.001492986568486
6.255000000000000  sec,-0.001230060711631,0.001492986565458
6.270000000000000  sec,-0.001230060721103,0.001492986545659
6.285000000000000  sec,-0.001230060725415,0.001492986568756
6.300000000000000  sec,-0.001230060707624,0.001492986557692
6.315000000000000  sec,-0.001230060713791,0.001492986542121
6.330000000000000  sec,-0.001278993065857,0.001449882310218
6.345000000000000  sec,-0.001278993072216,0.001449882317256
6.359999999999999  sec,-0.001278993086113,0.001449882301881
6.375000000000000  sec,-0.001278993077941,0.001449882308720
6.390000000000000  sec,-0.001278993096562,0.001449882315900
6.404999999999999  sec,-0.001278993086000,0.001449882315624
6.420000000000000  sec,-0.001303044385806,0.001426927874591
6.435000000000000  sec,-0.001303044401712,0.001426927850247
6.450000000000000  sec,-0.001303044393083,0.001426927865899
6.465000000000000  sec,-0.001303044385368,0.001426927865857
6.480000000000000  sec,-0.001303044402768,0.001426927880448
6.495000000000000  sec,-0.001303044402936,0.001426927866205
6.510000000000000  sec,-0.001303044394143,0.001426927870180
6.525000000000000  sec,-0.001304822149220,0.001424985123053
6.540000000000000  sec,-0.001304822184760,0.001424985121968
6.555000000000000  sec,-0.001304822169226,0.001424985128314
6.569999999999999  sec,-0.001304822168844,0.001424985110654
6.585000000000000  sec,-0.001304822154930,0.001424985116553
6.600000000000000  sec,-0.001304822149894,0.001424985122014
6.614999999999999  sec,-0.001304822161124,0.001424985113152
6.630000000000000  sec,-0.001285197676765,0.001443870035470
6.645000000000000  sec,-0.001285197697477,0.001443870036469
6.660000000000000  sec,-0.001285197680951,0.001443870024354
6.675000000000000  sec,-0.001285197701960,0.001443870027186
6.690000000000000  sec,-0.001285197672109,0.001443870030409
6.705000000000000  sec,-0.001285197680002,0.001443870021353
6.720000000000000  sec,-0.001249545218984,0.001475813260657
6.734999999999999  sec,-0.001249545221055,0.001475813274356
6.750000000000000  sec,-0.001249545230402,0.001475813283082
6.765000000000000  sec,-0.001249545214314,0.001475813258784
6.779999999999999  sec,-0.001249545230090,0.001475813261981
6.795000000000000  sec,-0.001249545229252,0.001475813276051
6.810000000000000  sec,-0.001249545220667,0.001475813272271
6.825000000000000  sec,-0.001197969842966,0.001519745383241
6.840000000000000  sec,-0.001197969803372,0.001519745400838
6.855000000000000  sec,-0.001197969808721,0.001519745384286
6.870000000000000  sec,-0.001197969827406,0.001519745405772
